# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.386419677734375000e+02 1.093253707885742188e+01 9.395885620117187500e+02 1.094811725616455078e+01
1.000000000000000000e+03 2.808416128158569336e+00 6.509952545166015625e-01 2.703404664993286133e+00 6.431580185890197754e-01
2.000000000000000000e+03 1.483820676803588867e+00 6.936851739883422852e-01 1.406560897827148438e+00 6.802030205726623535e-01
3.000000000000000000e+03 8.835355639457702637e-01 5.359410643577575684e-01 8.318694829940795898e-01 5.214952826499938965e-01
4.000000000000000000e+03 5.696142911911010742e-01 3.694116175174713135e-01 5.415613651275634766e-01 3.589815199375152588e-01
5.000000000000000000e+03 3.420943617820739746e-01 3.135232031345367432e-01 3.273556828498840332e-01 3.040781319141387939e-01
6.000000000000000000e+03 2.252379059791564941e-01 2.510205209255218506e-01 2.176532447338104248e-01 2.435036450624465942e-01
7.000000000000000000e+03 1.574528515338897705e-01 1.909095048904418945e-01 1.540522724390029907e-01 1.854725331068038940e-01
8.000000000000000000e+03 9.251038730144500732e-02 1.554764360189437866e-01 9.098924696445465088e-02 1.515348106622695923e-01
9.000000000000000000e+03 7.528557628393173218e-02 1.213697493076324463e-01 7.466264069080352783e-02 1.188125386834144592e-01
1.000000000000000000e+04 7.160183042287826538e-02 8.823055773973464966e-02 7.141596823930740356e-02 8.643224835395812988e-02
1.000000000000000000e+04 7.160183042287826538e-02 8.823055773973464966e-02 7.141596823930740356e-02 8.643224835395812988e-02
1.003500000000000000e+04 7.160183042287826538e-02 8.823055773973464966e-02 7.141596823930740356e-02 8.643224835395812988e-02
